council_id,council_name,region_id,region_name,country,population_2021,area_sq_km,urban_rural_classification,deprivation_band,imd_rank,year_established
LA001,Derby City Council,R01,East Midlands,England,262672,393.3,Urban,4,78,1948
LA002,Nottingham City Council,R01,East Midlands,England,329200,441.9,Predominantly Rural,4,75,1894
LA003,Leicester City Council,R01,East Midlands,England,368581,799.2,Predominantly Urban,4,73,1952
LA004,Northampton Borough Council,R01,East Midlands,England,225600,26.7,Rural,3,82,1967
LA005,Chesterfield Borough Council,R01,East Midlands,England,104600,323.9,Predominantly Urban,5,66,1944
LA006,"Lincoln City Council ",R01,East Midlands,England,99800,939.2,Predominantly Urban,5,62,1964
LA007,Mansfield District Council,R01,East Midlands,England,107800,929.3,Mixed,6,58,1928
LA008,Kettering Borough Council,R01,East Midlands,England,103400,359.5,Urban,4,71,1952
LA009,Wellingborough Borough Council,R01,East Midlands,England,81500,980.2,Predominantly Rural,5,68,1941
LA010,Hinckley and Bosworth Borough Council,R01,East Midlands,England,112000,387.5,Predominantly Rural,4,75,1917
LA011,Blaby District Council,R01,East Midlands,England,98500,859.7,Predominantly Urban,3,82,1974
LA012,Melton Borough Council,R01,East Midlands,England,51200,613.7,Rural,4,79,1896
LA013,South Kesteven District Council,R01,East Midlands,England,142000,1060.3,Rural,4,77,1943
LA014,Newark and Sherwood District Council,R01,East Midlands,England,120400,806.8,Mixed,4,73,1967
LA015,Broxtowe Borough Council,R01,East Midlands,England,112400,1071.8,Rural,4,78,1912
LA016,Gedling Borough Council,R01,East Midlands,England,118500,1035.4,Predominantly Urban,3,105,1940
LA017,Norwich City Council,R02,East of England,England,215700,946.1,Predominantly Urban,4,70,1953
LA018,Ipswich Borough Council,R02,East of England,England,137600,256.3,Mixed,5,65,1924
LA019,Cambridge City Council,R02,East of England,England,131800,368.3,Mixed,3,88,1961
LA020,Luton Borough Council,R02,East of England,England,225300,171.6,Predominantly Rural,6,52,1930
LA021,Peterborough City Council,R02,East of England,England,212600,695.7,Rural,5,61,1947
LA022,"Southend-on-Sea Borough Council ",R02,East of England,England,183200,220.0,Predominantly Rural,5,66,1973
LA023,Thurrock Council,R02,East of England,England,172000,344.9,Mixed,5,64,1956
LA024,Chelmsford City Council,R02,East of England,England,180300,224.9,Predominantly Urban,3,84,1959
LA025,Colchester Borough Council,R02,East of England,England,195300,197.2,Predominantly Urban,4,78,1905
LA026,Braintree District Council,R02,East of England,England,156800,421.3,Mixed,3,80,1908
LA027,Basildon Borough Council,R02,East of England,England,186800,464.7,Urban,5,64,1917
LA028,Harlow District Council,R02,East of England,England,92300,1053.0,Urban,6,55,1908
LA029,Stevenage Borough Council,R02,East of England,England,89200,374.8,Predominantly Rural,5,60,1890
LA030,Watford Borough Council,R02,East of England,England,96800,735.6,Rural,4,105,1908
LA031,St Albans City and District Council,R02,East of England,England,148600,666.6,Mixed,2,92,1917
LA032,Hertsmere Borough Council,R02,East of England,England,105500,638.5,Predominantly Urban,3,87,1910
LA033,"City of London Corporation ",R03,London,England,9400,1008.4,Mixed,2,95,1891
LA034,London Borough of Camden,R03,London,England,263100,487.1,Urban,3,82,1952
LA035,London Borough of Hackney,R03,London,England,281400,127.4,Predominantly Rural,6,58,1966
LA036,London Borough of Tower Hamlets,R03,London,England,324800,297.0,Mixed,7,44,1897
LA037,London Borough of Newham,R03,London,England,384000,925.2,Rural,7,41,1929
LA038,London Borough of Islington,R03,London,England,245800,365.6,Urban,5,62,1972
LA039,London Borough of Southwark,R03,London,England,317200,208.0,Rural,6,55,1902
LA040,London Borough of Lambeth,R03,London,England,332700,293.3,Urban,6,50,1933
LA041,London Borough of Lewisham,R03,London,England,303900,655.2,Predominantly Rural,6,53,1919
LA042,London Borough of Greenwich,R03,London,England,290900,20.9,Urban,6,57,1970
LA043,London Borough of Brent,R03,London,England,NULL,860.2,Rural,7,45,1929
LA044,London Borough of Harrow,R03,London,England,250200,1054.0,Urban,4,72,1922
LA045,LONDON BOROUGH OF ENFIELD,R03,London,England,333870,936.5,Rural,6,59,1897
LA046,Royal Borough of Kingston upon Thames,R03,London,England,175800,1195.7,Rural,3,82,1953
LA047,London Borough of Richmond upon Thames,R03,London,England,NULL,118.7,Urban,3,88,1960
LA048,London Borough of Merton,R03,London,England,206900,1196.8,Urban,4,79,1889
LA049,Newcastle upon Tyne City Council,R04,North East,England,302820,143.5,Predominantly Urban,6,51,1941
LA050,Sunderland City Council,R04,North East,England,288700,1021.7,Rural,7,45,1920
LA051,Gateshead Metropolitan Borough Council,R04,North East,England,201800,481.6,Rural,7,47,1948
LA052,South Tyneside Metropolitan Borough Council,R04,North East,England,148100,317.7,Rural,7,43,1945
LA053,"North Tyneside Metropolitan Borough Council ",R04,North East,England,208800,956.2,Predominantly Rural,6,55,1962
LA054,Middlesbrough Council,R04,North East,England,141000,224.4,Rural,8,35,1927
LA055,Hartlepool Borough Council,R04,North East,England,92000,497.3,Predominantly Urban,8,36,1926
LA056,Stockton-on-Tees Borough Council,R04,North East,England,196500,174.2,Predominantly Urban,7,49,1932
LA057,Darlington Borough Council,R04,North East,England,105600,637.3,Predominantly Urban,6,54,1968
LA058,Durham County Council,R04,North East,England,527000,382.0,Mixed,6,50,1956
LA059,Northumberland County Council,R04,North East,England,320600,408.1,Predominantly Urban,6,58,1958
LA060,Redcar and Cleveland Borough Council,R04,North East,England,135200,144.0,Predominantly Rural,7,40,1921
LA061,Manchester City Council,R05,North West,England,553230,480.7,Urban,7,45,1935
LA062,Liverpool City Council,R05,North West,England,494814,1076.3,Rural,8,105,1940
